City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,longyearbyen,78.2186,15.6401,270.06,93,75,13.89,SJ,1684027845
165,pangai,-19.8,-174.35,297.78,78,100,10.72,TO,1684027845
166,borger,52.9233,6.7931,284.71,89,96,2.49,NL,1684027846
167,fort st. john,56.2499,-120.8529,299.09,21,75,3.6,CA,1684027846
168,margaret river,-33.95,115.0667,289.97,63,75,3.05,AU,1684027847
169,palmares do sul,-30.2578,-50.5097,286.73,73,47,2.45,BR,1684027848
170,the pas,53.8251,-101.2541,293.16,24,0,3.6,CA,1684027848
171,east london,-33.0153,27.9116,290.06,93,96,5.32,ZA,1684027849
172,cururupu,-1.8283,-44.8683,297.19,95,75,0.65,BR,1684027849
173,punta arenas,-53.15,-70.9167,275.21,93,0,2.06,CL,1684027555
174,thinadhoo,0.5333,72.9333,301.21,80,100,7.58,MV,1684027850
175,vila velha,-20.3297,-40.2925,296.12,83,75,2.06,BR,1684027851
176,huron,41.1501,-82.5499,292.84,78,100,2.51,US,1684027851
177,papao,-17.75,-149.55,301.97,81,34,6.51,PF,1684027851
178,petauke,-14.2426,31.3253,289.99,56,69,2.27,ZM,1684027852
179,el estor,15.5333,-89.35,298.29,93,99,1.31,GT,1684027852
180,dowagiac,41.9842,-86.1086,293.26,76,100,4.6,US,1684027853
181,georgetown,5.4112,100.3354,303.12,74,20,2.06,MY,1684027802
182,bereket,39.2446,55.5154,295.5,44,100,1.56,TM,1684027853
183,whitehorse,60.7161,-135.0538,288.2,30,75,5.14,CA,1684027555
184,hithadhoo,-0.6,73.0833,301.67,76,100,7.64,MV,1684027854
185,ola,59.5833,151.2833,274.9,97,100,4.0,RU,1684027854
186,yeed,4.55,43.0333,297.91,75,11,6.78,SO,1684027855
187,somerset east,-32.7217,25.588,283.98,99,100,4.1,ZA,1684027855
188,yantai,37.5333,121.4,292.48,59,0,3.54,CN,1684027856
189,tawau,4.2498,117.8871,304.22,89,55,2.87,MY,1684027691
190,jingdezhen,29.2947,117.2079,298.36,64,100,1.52,CN,1684027856
191,vorgashor,67.5833,63.95,265.42,93,100,2.95,RU,1684027857
192,happy valley-goose bay,53.3168,-60.3315,278.32,100,100,7.2,CA,1684027857
193,dapa,9.7594,126.0531,301.47,76,100,0.99,PH,1684027858
194,hamilton,39.1834,-84.5333,295.92,82,20,1.54,US,1684027858
195,san clemente del tuyu,-36.3569,-56.7235,287.35,75,99,2.68,AR,1684027859
196,afaahiti,-17.75,-149.2833,301.08,81,66,5.68,PF,1684027859
197,constantia,44.1833,28.65,280.76,60,77,1.92,RO,1684027803
198,lebedyn,50.5852,34.4849,282.26,90,25,2.25,UA,1684027860
199,yermentau,51.6214,73.1069,283.44,67,8,7.29,KZ,1684027860
200,zvenigovo,55.9742,48.0181,281.68,96,39,4.1,RU,1684027860
201,livingstone,-17.8419,25.8543,289.11,51,0,1.12,ZM,1684027861
202,iquitos,-3.7481,-73.2472,298.17,88,75,1.03,PE,1684027582
203,kapuskasing,49.4169,-82.4331,283.2,32,20,3.6,CA,1684027862
204,bilibino,68.0546,166.4372,267.23,55,1,1.22,RU,1684027863
205,kingston,17.997,-76.7936,301.68,82,20,2.57,JM,1684027863
206,nar'yan-mar,67.6713,53.087,271.58,90,100,4.49,RU,1684027864
207,beau vallon,-20.4189,57.6953,296.28,94,40,1.03,MU,1684027864
208,hun,29.1268,15.9477,297.71,20,0,4.82,LY,1684027865
209,nouadhibou,20.931,-17.0347,290.69,93,15,7.07,MR,1684027866
210,reyes,-14.3167,-67.3833,294.18,82,100,0.76,BO,1684027866
211,romanovo,52.6182,81.2271,281.19,58,100,6.11,RU,1684027867
212,san fernando de apure,7.8878,-67.4724,298.9,84,100,1.69,VE,1684027868
213,rurrenabaque,-14.4413,-67.5278,294.21,82,100,0.68,BO,1684027869
214,petrovsk-zabaykal'skiy,51.273,108.843,277.56,65,100,4.11,RU,1684027869
215,haiku-pauwela,20.9219,-156.3051,300.16,66,40,6.17,US,1684027871
216,sitka,57.0531,-135.33,285.09,76,75,4.12,US,1684027871
217,horta,38.5333,-28.6333,288.72,87,99,3.58,PT,1684027872
218,manado,1.487,124.8455,304.58,70,20,1.54,ID,1684027873
219,badiyah,22.45,58.8,303.17,48,0,0.74,OM,1684027873
220,bamboo flat,11.7,92.7167,302.98,78,100,8.62,IN,1684027875
221,estelle,29.8458,-90.1067,300.15,83,40,3.6,US,1684027876
222,kanniyakumari,8.0833,77.5667,301.7,82,100,8.05,IN,1684027876
223,yafran,32.0633,12.5286,299.37,18,34,10.21,LY,1684027877
224,alta,69.9689,23.2717,281.74,67,100,1.54,NO,1684027877
225,udachny,66.4167,112.4,273.4,63,99,4.57,RU,1684027878
226,latina,41.45,13.1,288.66,95,100,1.34,IT,1684027879
227,misratah,32.3754,15.0925,299.02,33,2,9.64,LY,1684027879
228,glace bay,46.1969,-59.957,280.81,83,20,0.89,CA,1684027880
229,malmesbury,-33.4608,18.7271,286.9,84,7,3.6,ZA,1684027880
230,ivybridge,50.3904,-3.9191,284.18,94,20,1.78,GB,1684027881
231,topki,55.2769,85.6163,276.04,33,100,6.46,RU,1684027881
232,peniche,39.3558,-9.3811,287.65,90,3,7.6,PT,1684027882
233,flying fish cove,-10.4217,105.6791,300.97,74,75,7.2,CX,1684027882
234,cabo san lucas,22.8909,-109.9124,300.32,34,0,1.54,MX,1684027878
235,itoman,26.1247,127.6694,296.58,68,100,5.66,JP,1684027883
236,dawei,14.0833,98.2,301.88,79,95,4.74,MM,1684027884
237,colonia,50.9333,6.95,285.27,89,25,1.03,DE,1684027786
238,conde,-7.2597,-34.9075,299.85,89,40,2.06,BR,1684027885
239,borogontsy,62.6683,131.1683,283.04,44,99,1.91,RU,1684027886
240,aykhal,66.0,111.5,272.01,96,100,5.14,RU,1684027887
241,kargopol',61.5071,38.9456,278.22,89,17,1.18,RU,1684027887
242,otofuke,42.9917,143.2003,288.68,59,3,2.35,JP,1684027888
243,fort bragg,35.139,-79.006,299.0,58,75,3.09,US,1684027840
244,taltal,-25.4,-70.4833,290.93,85,99,0.74,CL,1684027889
245,maracaju,-21.6144,-55.1683,287.36,75,0,1.87,BR,1684027889
246,palopo,-2.9996,120.1921,302.53,66,7,1.73,ID,1684027890
247,salinopolis,-0.6136,-47.3561,299.88,83,95,3.13,BR,1684027890
248,khandyga,62.6667,135.6,279.53,60,95,1.9,RU,1684027891
249,yanam,16.7333,82.2167,301.58,75,100,0.35,IN,1684027892
250,ampanihy,-24.7,44.75,292.33,85,38,1.72,MG,1684027895
251,margate,51.3813,1.3862,283.09,85,23,2.68,GB,1684027896
252,usogorsk,63.4106,48.6872,275.43,73,99,1.78,RU,1684027896
253,gusinoozyorsk,51.2833,106.5,277.43,56,100,6.57,RU,1684027897
254,mhangura,-16.8939,30.1683,286.74,70,11,1.26,ZW,1684027897
255,berezovyy,51.6667,135.7,293.68,41,81,2.84,RU,1684027898
256,andkhoy,36.9529,65.1238,299.23,23,0,0.44,AF,1684027898
257,campoverde,-8.4753,-74.8058,299.98,92,4,1.32,PE,1684027899
258,calama,-22.4667,-68.9333,288.42,12,0,3.6,CL,1684027899
259,paka,4.6374,103.4368,303.11,84,40,1.54,MY,1684027899
260,carnarvon,-24.8667,113.6333,293.23,51,50,7.65,AU,1684027900
